SKIN CAVIAR,LUXE CREAM,"FIRMING,LIFTING,NOURISHING",$595.00
SKIN CAVIAR,THE MIST,"HYDRATING,REFRESHING,SMOOTHING",$185.00
SKIN CAVIAR,LIQUID LIFT,"FIRMING,LIFTING,SMOOTHING",$785.00
SKIN CAVIAR,EYE LIFT,"ANTI-WRINKLES,FIRMING,LIFTING",$570.00
PLATINUM RARE,HAUTE-REJUVENATION ELIXIR,"FIRMING,LIFTING,REJUVENATING","$1,460.00"
SKIN CAVIAR,LUXE CREAM SHEER,"FIRMING,LIFTING,NOURISHING",$595.00
SKIN CAVIAR,FACE AND EYE LIMITED EDITION SET,"FIRMING,LIFTING,NOURISHING","$1,065.00"
WHITE CAVIAR,ESSENTIALS LIMITED EDITION SET,"BRIGHTENING,FIRMING,HYDRATING","$1,610.00"
PLATINUM RARE,HAUTE-REJUVENATION CREAM,"FIRMING,REJUVENATING,SMOOTHING","$1,690.00"
SKIN CAVIAR,LUXE EYE CREAM,"FIRMING,LIFTING,NOURISHING",$435.00
SKIN CAVIAR,NIGHTTIME OIL,"ANTI-WRINKLES,FIRMING,NOURISHING",$580.00
PLATINUM RARE,CELLULAR NIGHT ELIXIR,"FIRMING,REJUVENATING,SMOOTHING","$1,460.00"
WHITE CAVIAR,PEARL INFUSION,"BRIGHTENING,EVEN-SKIN,FIRMING",$770.00
LA PRAIRIE,FOAM CLEANSER,"PURIFYING,REFRESHING",$100.00
WHITE CAVIAR,CRÈME EXTRAORDINAIRE,"BRIGHTENING,FIRMING,HYDRATING",$840.00
SKIN CAVIAR,ESSENCE-IN-LOTION,"FIRMING,HYDRATING",$320.00
PLATINUM RARE,HAUTE-REJUVENATION MASK REPLENISHMENT,"ANTI-WRINKLES,REJUVENATING,SMOOTHING","$1,570.00"
SKIN CAVIAR,ESSENCE-IN-LOTION 250 ML DEVOTEE EDITION,"FIRMING,HYDRATING",$475.00
SKIN CAVIAR,NIGHT INDULGENCE ONLINE EXCLUSIVE,"FIRMING,NOURISHING,SOOTHING",$625.00
PLATINUM RARE,HAUTE-REJUVENATION EYE CREAM,"FIRMING,REJUVENATING,SMOOTHING","$1,090.00"
PLATINUM RARE,HAUTE-REJUVENATION EYE ELIXIR,"LIFTING,REJUVENATING","$1,090.00"
SKIN CAVIAR,HARMONY L'EXTRAIT,"ANTI-WRINKLES,LIFTING,VOLUME-ENHANCING",$860.00
PURE GOLD,RADIANCE CREAM REPLENISHMENT,"NOURISHING,REVITALISING",$840.00
Cellular Swiss Uv,PROTECTION VEIL SUNSCREEN BROAD SPECTRUM SPF 30,"EVEN-SKIN,UV-PROTECTION",$235.00
SKIN CAVIAR,LUXE SLEEP MASK,"FIRMING,SMOOTHING",$445.00
PLATINUM RARE,HAUTE-REJUVENATION MASK,"ANTI-WRINKLES,REJUVENATING,SMOOTHING","$1,740.00"
PLATINUM RARE,HAUTE-REJUVENATION PROTOCOL,"FIRMING,REJUVENATING,VOLUME-ENHANCING","$2,180.00"
PLATINUM RARE,EYE CARE LIMITED EDITION SET,"LIFTING,REJUVENATING,SMOOTHING","$2,180.00"
SKIN CAVIAR,ABSOLUTE FILLER,"FIRMING,NOURISHING,VOLUME-ENHANCING",$725.00
Cellular,SOFTENING AND BALANCING LOTION,"HYDRATING,SOOTHING",$215.00
SKIN CAVIAR,EYE CARE LIMITED EDITION SET,"FIRMING,LIFTING,SOOTHING",$665.00
PURE GOLD,RADIANCE CREAM,"NOURISHING,REVITALISING,SMOOTHING",$935.00
