product_line,product_name,benefits,price,country
SKIN CAVIAR,LUXE CREAM,"FIRMING,LIFTING,NOURISHING",595.0,us
SKIN CAVIAR,THE MIST,"HYDRATING,REFRESHING,SMOOTHING",185.0,us
SKIN CAVIAR,LIQUID LIFT,"FIRMING,LIFTING,SMOOTHING",785.0,us
SKIN CAVIAR,EYE LIFT,"ANTI-WRINKLES,FIRMING,LIFTING",570.0,us
PLATINUM RARE,HAUTE-REJUVENATION ELIXIR,"FIRMING,LIFTING,REJUVENATING",1460.0,us
SKIN CAVIAR,LUXE CREAM SHEER,"FIRMING,LIFTING,NOURISHING",595.0,us
SKIN CAVIAR,FACE AND EYE LIMITED EDITION SET,"FIRMING,LIFTING,NOURISHING",1065.0,us
WHITE CAVIAR,ESSENTIALS LIMITED EDITION SET,"BRIGHTENING,FIRMING,HYDRATING",1610.0,us
PLATINUM RARE,HAUTE-REJUVENATION CREAM,"FIRMING,REJUVENATING,SMOOTHING",1690.0,us
SKIN CAVIAR,LUXE EYE CREAM,"FIRMING,LIFTING,NOURISHING",435.0,us
SKIN CAVIAR,NIGHTTIME OIL,"ANTI-WRINKLES,FIRMING,NOURISHING",580.0,us
PLATINUM RARE,CELLULAR NIGHT ELIXIR,"FIRMING,REJUVENATING,SMOOTHING",1460.0,us
WHITE CAVIAR,PEARL INFUSION,"BRIGHTENING,EVEN-SKIN,FIRMING",770.0,us
LA PRAIRIE,FOAM CLEANSER,"PURIFYING,REFRESHING",100.0,us
WHITE CAVIAR,CRÈME EXTRAORDINAIRE,"BRIGHTENING,FIRMING,HYDRATING",840.0,us
SKIN CAVIAR,ESSENCE-IN-LOTION,"FIRMING,HYDRATING",320.0,us
PLATINUM RARE,HAUTE-REJUVENATION MASK REPLENISHMENT,"ANTI-WRINKLES,REJUVENATING,SMOOTHING",1570.0,us
SKIN CAVIAR,ESSENCE-IN-LOTION 250 ML DEVOTEE EDITION,"FIRMING,HYDRATING",475.0,us
SKIN CAVIAR,NIGHT INDULGENCE ONLINE EXCLUSIVE,"FIRMING,NOURISHING,SOOTHING",625.0,us
PLATINUM RARE,HAUTE-REJUVENATION EYE CREAM,"FIRMING,REJUVENATING,SMOOTHING",1090.0,us
PLATINUM RARE,HAUTE-REJUVENATION EYE ELIXIR,"LIFTING,REJUVENATING",1090.0,us
SKIN CAVIAR,HARMONY L'EXTRAIT,"ANTI-WRINKLES,LIFTING,VOLUME-ENHANCING",860.0,us
PURE GOLD,RADIANCE CREAM REPLENISHMENT,"NOURISHING,REVITALISING",840.0,us
CELLULAR SWISS UV,PROTECTION VEIL SUNSCREEN,"EVEN-SKIN,UV-PROTECTION",235.0,us
